PartNo/Pin,1,2,3,4,5,6,7
RE1,ARD1.16,ARD1.15,VCC,GND,SIN6.3,SIN6.4
RE2,ARD1.14,ARD1.13,VCC,GND,SIN6.11,SIN6.6,SIN6.5
RE3,ARD1.12,ARD1.11,VCC,GND,SIN5.6,SIN5.5
RE4,ARD1.10,ARD1.9,VCC,GND,SIN5.11,SIN5.12
RE5,ARD1.8,ARD1.7,VCC,GND,SIN1.3,SIN1.4,SIN1.5
