PartNo/Pin,1,2
BT1,VCC,"SIN1.6
R5.1"
BT2,VCC,"SIN4.4
R28.1"
BT3,VCC,"SIN5.13
R31.1"
BT4,VCC,"SIN6.12
R36.1"
